Time_Start,Time_End,BER1,BER2
04/01/2024 02:14,04/01/2024 02:29,3.13E-10,0.000343271
04/01/2024 02:30,04/01/2024 02:45,1.30E-10,0.000333411
04/01/2024 02:46,04/01/2024 02:59,1.59E-10,0.000327295
04/01/2024 03:00,04/01/2024 03:15,3.04E-10,0.000339839
04/01/2024 03:16,04/01/2024 03:31,1.40E-10,0.000345992
04/01/2024 03:32,04/01/2024 03:47,3.15E-10,0.000346362
04/01/2024 03:48,04/01/2024 03:59,3.68E-10,0.000343541
04/01/2024 04:00,04/01/2024 04:15,3.13E-10,0.000344998
04/01/2024 04:16,04/01/2024 04:31,3.64E-10,0.000345534
04/01/2024 04:32,04/01/2024 04:47,2.92E-10,0.000343094
04/01/2024 04:48,04/01/2024 04:59,2.36E-10,0.000335222
04/01/2024 05:00,04/01/2024 05:15,1.86E-10,0.00033226
04/01/2024 05:16,04/01/2024 05:31,1.51E-10,0.000328656
04/01/2024 05:32,04/01/2024 05:47,9.28E-11,0.000328542
04/01/2024 05:48,04/01/2024 05:59,3.70E-10,0.000327463
04/01/2024 06:00,04/01/2024 06:15,1.40E-10,0.00033812
04/01/2024 06:16,04/01/2024 06:31,1.74E-10,0.000340782
04/01/2024 06:32,04/01/2024 06:47,2.07E-10,0.000342694
04/01/2024 06:48,04/01/2024 06:59,2.16E-10,0.00033573
04/01/2024 07:00,04/01/2024 07:15,1.94E-10,0.000333818
04/01/2024 07:16,04/01/2024 07:31,4.31E-10,0.000342843
04/01/2024 07:32,04/01/2024 07:47,1.94E-10,0.000344986
04/01/2024 07:48,04/01/2024 07:59,2.47E-10,0.000336461
04/01/2024 08:00,04/01/2024 08:15,2.53E-10,0.00033923
04/01/2024 08:16,04/01/2024 08:31,2.86E-10,0.000348188
04/01/2024 08:32,04/01/2024 08:47,1.62E-10,0.000345933
04/01/2024 08:48,04/01/2024 08:59,2.82E-10,0.000346118
04/01/2024 09:00,04/01/2024 09:15,2.42E-10,0.000340943
04/01/2024 09:16,04/01/2024 09:31,2.03E-10,0.000327573
04/01/2024 09:32,04/01/2024 09:47,2.86E-10,0.000336081
04/01/2024 09:48,04/01/2024 09:59,1.26E-10,0.000342367
04/01/2024 10:00,04/01/2024 10:15,2.07E-10,0.000343929
04/01/2024 10:16,04/01/2024 10:31,4.41E-10,0.000338098
04/01/2024 10:32,04/01/2024 10:47,1.15E-10,0.000337492
04/01/2024 10:48,04/01/2024 10:59,1.57E-10,0.00034987
04/01/2024 11:00,04/01/2024 11:15,1.90E-10,0.000356661
04/01/2024 11:16,04/01/2024 11:31,2.91E-10,0.000330926
04/01/2024 11:32,04/01/2024 11:47,1.20E-10,0.000326164
04/01/2024 11:48,04/01/2024 11:59,2.11E-10,0.000336187
04/01/2024 12:00,04/01/2024 12:15,2.12E-10,0.000343379
04/01/2024 12:16,04/01/2024 12:24,2.58E-10,0.000341492
